Date,Day,Simple Cluster,Cluster,Open,High,Low,Close,O - C (D),O - H (D),O - L (D),C - O (D-1)
4/9/18,Tuesday,Crash,Crash,11598.75,11602.55,11496.85,11520.3,-0.68,0.03,-0.88,0.14
5/9/18,Wednesday,Crash,Crash-Rally,11514.85,11542.65,11393.85,11476.95,-0.33,0.24,-1.05,-0.05
6/9/18,Thursday,Crash-Rally,Crash-Rally,11514.15,11562.25,11436.05,11536.9,0.20,0.42,-0.68,0.32
7/9/18,Friday,Rally,Rally,11558.25,11603,11484.4,11589.1,0.27,0.39,-0.64,0.19
10/9/18,Monday,Crash,Crash,11570.25,11573,11427.3,11438.1,-1.14,0.02,-1.24,-0.16
11/9/18,Tuesday,Crash,Crash,11476.85,11479.4,11274,11287.5,-1.65,0.02,-1.77,0.34
12/9/18,Wednesday,Rally,Flat-Rally,11340.1,11380.75,11250.2,11369.9,0.26,0.36,-0.79,0.47
14/9/18,Friday,Rally,Rally,11443.5,11523.25,11430.55,11515.2,0.63,0.70,-0.11,0.65
17/9/18,Monday,Crash,Crash,11464.95,11464.95,11366.9,11377.75,-0.76,0.00,-0.86,-0.44
18/9/18,Tuesday,Crash,Crash,11381.55,11411.45,11268.95,11278.9,-0.90,0.26,-0.99,0.03
19/9/18,Wednesday,Crash,Crash,11326.65,11332.05,11210.9,11234.35,-0.81,0.05,-1.02,0.42
21/9/18,Friday,Crash,Crash,11271.3,11346.8,10866.45,11143.1,-1.14,0.67,-3.59,0.33
24/9/18,Monday,Crash,Crash,11164.4,11170.15,10943.6,10967.4,-1.76,0.05,-1.98,0.19
25/9/18,Tuesday,Rally,Rally,10969.95,11080.6,10882.85,11067.45,0.89,1.01,-0.79,0.02
26/9/18,Wednesday,Crash,Crash,11145.55,11145.55,10993.05,11053.8,-0.82,0.00,-1.37,0.71
27/9/18,Thursday,Crash,Crash,11079.8,11089.45,10953.35,10977.55,-0.92,0.09,-1.14,0.24
28/9/18,Friday,Crash,Crash,11008.1,11034.1,10850.3,10930.45,-0.71,0.24,-1.43,0.28
1/10/18,Monday,Crash-Rally,Crash-Rally,10930.9,11035.65,10821.55,11008.3,0.71,0.96,-1.00,0.00
3/10/18,Wednesday,Crash,Crash,10982.7,10989.05,10843.75,10858.25,-1.13,0.06,-1.27,-0.23
4/10/18,Thursday,Crash,Crash,10754.7,10754.7,10547.25,10599.25,-1.45,0.00,-1.93,-0.95
5/10/18,Friday,Crash,Crash,10514.1,10540.65,10261.9,10316.45,-1.88,0.25,-2.40,-0.80
8/10/18,Monday,Rally,Rally-Crash-Rally,10310.15,10398.35,10198.4,10348.05,0.37,0.86,-1.08,-0.06
9/10/18,Tuesday,Crash,Crash-Rally-Crash,10390.3,10397.6,10279.35,10301.05,-0.86,0.07,-1.07,0.41
10/10/18,Wednesday,Rally,Rally,10331.85,10482.35,10318.25,10460.1,1.24,1.46,-0.13,0.30
11/10/18,Thursday,Rally-Crash,Rally-Crash,10169.8,10335.95,10138.6,10234.65,0.64,1.63,-0.31,-2.78
12/10/18,Friday,Rally,Rally,10331.55,10492.45,10322.15,10472.5,1.36,1.56,-0.09,0.95
15/10/18,Monday,Rally,Rally,10524.2,10526.3,10410.15,10512.5,-0.11,0.02,-1.08,0.49
16/10/18,Tuesday,Choppy,Choppy,10550.15,10604.9,10525.3,10584.75,0.33,0.52,-0.24,0.36
17/10/18,Wednesday,Crash,Crash,10688.7,10710.15,10436.45,10453.05,-2.20,0.20,-2.36,0.98
19/10/18,Friday,Crash,Crash,10339.7,10380.1,10249.6,10303.55,-0.35,0.39,-0.87,-1.08
22/10/18,Monday,Crash,Crash,10405.85,10408.55,10224,10245.25,-1.54,0.03,-1.75,0.99
